timestamp,intersection_id,current_phase,vehicle_count,remaining_time_sec,cycle_time_sec,pedestrian_request,latitude,longitude
2026-05-09T08:00:00+00:00,A17-B03,green,29,5,60,False,50.451295,30.521971
2026-05-09T08:02:00+00:00,A17-B03,yellow,22,38,60,True,50.451017,30.521719
2026-05-09T08:04:00+00:00,C05-D11,red,27,22,60,False,50.450721,30.522744
2026-05-09T08:06:00+00:00,C05-D11,green,32,56,60,False,50.450667,30.522524
2026-05-09T08:08:00+00:00,E09-F04,red,34,4,60,True,50.449991,30.524127
2026-05-09T08:00:00+00:00,A17-B03,green,22,40,60,False,50.451365,30.522048
2026-05-09T08:02:00+00:00,A17-B03,yellow,14,42,60,True,50.451371,30.521893
2026-05-09T08:04:00+00:00,C05-D11,red,26,4,60,False,50.450543,30.522693
2026-05-09T08:06:00+00:00,C05-D11,green,31,6,60,False,50.450584,30.522731
2026-05-09T08:08:00+00:00,E09-F04,red,30,24,60,True,50.449825,30.52397
2026-05-09T08:00:00+00:00,A17-B03,green,19,32,60,False,50.451368,30.521912
2026-05-09T08:02:00+00:00,A17-B03,yellow,16,48,60,True,50.451249,30.5218
2026-05-09T08:04:00+00:00,C05-D11,red,36,8,60,False,50.45066,30.522675
2026-05-09T08:06:00+00:00,C05-D11,green,29,35,60,False,50.450625,30.522617
2026-05-09T08:08:00+00:00,E09-F04,red,31,51,60,True,50.45011,30.523905
2026-05-09T08:00:00+00:00,A17-B03,green,23,17,60,False,50.451089,30.521964
2026-05-09T08:02:00+00:00,A17-B03,yellow,13,27,60,True,50.45134,30.521756
2026-05-09T08:04:00+00:00,C05-D11,red,36,43,60,False,50.450591,30.522578
2026-05-09T08:06:00+00:00,C05-D11,green,22,60,60,False,50.450826,30.522688
2026-05-09T08:08:00+00:00,E09-F04,red,37,29,60,True,50.449828,30.524132
2026-05-09T08:00:00+00:00,A17-B03,green,26,49,60,False,50.451104,30.521799
2026-05-09T08:02:00+00:00,A17-B03,yellow,20,54,60,True,50.451342,30.521914
2026-05-09T08:04:00+00:00,C05-D11,red,37,34,60,False,50.450876,30.522778
2026-05-09T08:06:00+00:00,C05-D11,green,24,4,60,False,50.450581,30.522821
2026-05-09T08:08:00+00:00,E09-F04,red,33,43,60,True,50.449783,30.52382
2026-05-09T08:00:00+00:00,A17-B03,green,19,23,60,False,50.45134,30.522029
2026-05-09T08:02:00+00:00,A17-B03,yellow,16,31,60,True,50.451208,30.521947
2026-05-09T08:04:00+00:00,C05-D11,red,28,42,60,False,50.450658,30.522572
2026-05-09T08:06:00+00:00,C05-D11,green,25,19,60,False,50.450893,30.522558
2026-05-09T08:08:00+00:00,E09-F04,red,37,9,60,True,50.449937,30.524041
2026-05-09T08:00:00+00:00,A17-B03,green,19,15,60,False,50.45125,30.521806
2026-05-09T08:02:00+00:00,A17-B03,yellow,13,10,60,True,50.451343,30.522011
2026-05-09T08:04:00+00:00,C05-D11,red,27,33,60,False,50.45077,30.522715
2026-05-09T08:06:00+00:00,C05-D11,green,33,25,60,False,50.450686,30.522569
2026-05-09T08:08:00+00:00,E09-F04,red,34,14,60,True,50.449864,30.523815
2026-05-09T08:00:00+00:00,A17-B03,green,22,50,60,False,50.451309,30.522042
2026-05-09T08:02:00+00:00,A17-B03,yellow,20,51,60,True,50.450997,30.521978
2026-05-09T08:04:00+00:00,C05-D11,red,32,25,60,False,50.450853,30.522516
2026-05-09T08:06:00+00:00,C05-D11,green,21,20,60,False,50.450627,30.52256
2026-05-09T08:08:00+00:00,E09-F04,red,31,28,60,True,50.4501,30.524081
2026-05-09T08:00:00+00:00,A17-B03,green,28,57,60,False,50.451364,30.521998
