timestamp,temperature_c,humidity_pct,pm2_5,pm10,co2_ppm,latitude,longitude
2026-05-09T08:00:00+00:00,17.18,60.13,14.61,22.87,483.12,50.450986,30.523313
2026-05-09T08:10:00+00:00,18.68,57.87,16.69,20.57,467.52,50.451006,30.523537
2026-05-09T08:20:00+00:00,20.41,60.04,16.84,22.83,513.04,50.450564,30.522847
2026-05-09T08:30:00+00:00,19.6,60.19,17.77,23.86,495.77,50.450507,30.523005
2026-05-09T08:40:00+00:00,20.1,54.26,18.21,29.95,560.62,50.450164,30.523898
2026-05-09T08:00:00+00:00,18.02,59.63,16.01,25.03,497.29,50.450953,30.52338
2026-05-09T08:10:00+00:00,18.1,63.11,14.69,21.37,484.75,50.45109,30.52374
2026-05-09T08:20:00+00:00,17.81,57.17,17.08,23.09,471.26,50.450842,30.523084
2026-05-09T08:30:00+00:00,19.45,56.95,16.31,24.5,550.63,50.450319,30.522996
2026-05-09T08:40:00+00:00,21.48,58.0,17.14,28.48,564.14,50.450011,30.523816
2026-05-09T08:00:00+00:00,18.69,63.23,13.14,20.22,495.32,50.450782,30.523374
2026-05-09T08:10:00+00:00,19.16,60.94,13.4,23.33,482.41,50.451274,30.523524
2026-05-09T08:20:00+00:00,19.83,56.59,15.53,23.06,486.0,50.450586,30.523096
2026-05-09T08:30:00+00:00,20.75,60.33,17.38,28.01,526.78,50.450224,30.52295
2026-05-09T08:40:00+00:00,18.77,57.66,17.33,29.88,569.16,50.450334,30.524013
2026-05-09T08:00:00+00:00,17.74,62.99,13.8,25.39,470.54,50.451096,30.523687
2026-05-09T08:10:00+00:00,18.92,62.04,15.97,24.12,472.5,50.450901,30.52389
2026-05-09T08:20:00+00:00,19.31,58.34,17.73,23.62,476.71,50.450779,30.52281
2026-05-09T08:30:00+00:00,18.77,55.39,15.3,24.47,519.26,50.45052,30.523189
2026-05-09T08:40:00+00:00,21.25,55.7,19.21,28.31,582.15,50.45003,30.52376
2026-05-09T08:00:00+00:00,17.62,61.58,15.05,20.91,456.51,50.451061,30.523494
2026-05-09T08:10:00+00:00,18.73,63.6,14.19,22.44,509.41,50.451252,30.52375
2026-05-09T08:20:00+00:00,19.29,55.69,16.97,22.61,494.32,50.450491,30.522898
2026-05-09T08:30:00+00:00,20.36,60.65,16.0,23.12,496.67,50.450532,30.523181
2026-05-09T08:40:00+00:00,21.52,53.89,18.37,29.28,530.0,50.450373,30.52381
2026-05-09T08:00:00+00:00,19.02,61.55,15.14,25.29,451.91,50.451004,30.523631
2026-05-09T08:10:00+00:00,17.94,62.58,14.36,25.38,496.08,50.45124,30.523593
2026-05-09T08:20:00+00:00,19.19,58.48,17.38,23.78,511.2,50.450713,30.522929
2026-05-09T08:30:00+00:00,18.92,60.82,17.41,27.18,494.84,50.450226,30.523134
2026-05-09T08:40:00+00:00,19.61,59.46,16.47,28.89,555.44,50.45007,30.523885
2026-05-09T08:00:00+00:00,16.91,61.65,14.58,21.25,449.2,50.45082,30.52333
2026-05-09T08:10:00+00:00,19.77,63.45,14.76,22.91,468.29,50.451217,30.523758
2026-05-09T08:20:00+00:00,18.14,59.6,16.94,24.75,468.39,50.450741,30.523106
2026-05-09T08:30:00+00:00,18.1,60.09,17.05,23.33,522.29,50.450566,30.52325
2026-05-09T08:40:00+00:00,20.08,53.32,19.33,27.29,563.16,50.450407,30.524025
2026-05-09T08:00:00+00:00,17.75,60.59,14.55,25.49,467.27,50.450953,30.523628
2026-05-09T08:10:00+00:00,19.68,61.56,13.61,25.89,455.84,50.451052,30.523915
2026-05-09T08:20:00+00:00,20.16,61.52,15.92,23.7,512.31,50.45074,30.523081
2026-05-09T08:30:00+00:00,19.22,55.02,17.32,26.4,541.48,50.450538,30.523037
2026-05-09T08:40:00+00:00,19.6,59.23,18.76,27.04,534.15,50.450388,30.524055
2026-05-09T08:00:00+00:00,18.72,60.97,14.75,23.23,480.44,50.450864,30.52362
2026-05-09T08:10:00+00:00,18.89,63.39,16.32,21.64,504.73,50.451116,30.523909
2026-05-09T08:20:00+00:00,19.85,57.34,15.92,25.63,488.0,50.450529,30.522887
2026-05-09T08:30:00+00:00,19.71,56.72,16.68,28.7,534.75,50.450266,30.523014
2026-05-09T08:40:00+00:00,20.63,52.92,17.1,30.11,579.43,50.450157,30.524021
2026-05-09T08:00:00+00:00,19.48,59.51,12.72,21.0,445.21,50.45111,30.523301
2026-05-09T08:10:00+00:00,17.43,62.48,16.47,23.23,479.06,50.451102,30.523898
2026-05-09T08:20:00+00:00,18.48,59.04,16.12,26.56,470.01,50.450632,30.522979
2026-05-09T08:30:00+00:00,20.6,54.65,15.59,27.43,542.82,50.450589,30.522947
